Mon May  3 09:17:31 2021    data/20210503-09:17:02-10-cprofile/pocket-client-0006.cprofile

         105930 function calls (102626 primitive calls) in 1.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      247    0.001    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:353(__setattr__)
    142/3    0.001    0.000    0.665    0.222 <frozen importlib._bootstrap_external>:672(exec_module)
     1479    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        7    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:625(<listcomp>)
   114/42    0.001    0.000    0.008    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
      142    0.001    0.000    0.100    0.001 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1301    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      310    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:160(<setcomp>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
   323/13    0.000    0.000    0.619    0.048 {built-in method builtins.__import__}
  182/179    0.000    0.000    0.403    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
      616    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:13(ismethod)
      572    0.000    0.000    0.001    0.000 <string>:12(__new__)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:94(_register_known_types)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      704    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        9    0.000    0.000    0.000    0.000 {built-in method io.open}
       28    0.000    0.000    0.002    0.000 /usr/lib/python3.6/abc.py:132(__new__)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.6/functools.py:74(wraps)
      164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     10/6    0.000    0.000    0.000    0.000 /root/tfrpc/client/yolo_msgq.py:1000(convert_object_to_dict)
     1546    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       97    0.000    0.000    0.003    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
      406    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       42    0.000    0.000    0.023    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
      164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      616    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:26(isfunction)
      518    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
        1    0.000    0.000    0.099    0.099 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1(<module>)
      612    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:41(iscode)
      306    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
        6    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:35(__init__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      115    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
      233    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       42    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       42    0.000    0.000    0.010    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
      193    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      191    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      274    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:419(_needs_add_docstring)
      109    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:797(__or__)
      108    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:36(__init__)
     1219    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1219    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/datetime.py:356(__new__)
      618    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:21(<module>)
      670    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     1024    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      581    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:41(<lambda>)
     1483    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.640    0.640 /usr/local/lib/python3.6/dist-packages/numpy/__init__.py:106(<module>)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
       40    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:140(formatargspec)
        1    0.000    0.000    0.090    0.090 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:3(<module>)
      386    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      170    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      374    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:285(tell)
       75    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:342(_escape)
    27/13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
