Mon May  3 09:21:28 2021    data/20210503-09:21:03-10-cprofile/pocket-client-0004.cprofile

         105930 function calls (102626 primitive calls) in 3.223 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    481/1    0.013    0.000    3.224    3.224 {built-in method builtins.exec}
        1    0.000    0.000    3.224    3.224 app.pocket.py:3(<module>)
        1    0.000    0.000    2.384    2.384 /root/tfrpc/client/yolo_msgq.py:128(get_instance)
        1    0.000    0.000    2.384    2.384 /root/tfrpc/client/yolo_msgq.py:196(__init__)
        1    0.000    0.000    2.381    2.381 /root/tfrpc/client/yolo_msgq.py:233(conn)
        1    0.000    0.000    2.375    2.375 /root/tfrpc/client/yolo_msgq.py:75(deduct_resource)
        1    0.000    0.000    2.375    2.375 /root/tfrpc/client/yolo_msgq.py:94(set_resource)
        1    2.375    2.375    2.375    2.375 {method 'recv' of '_socket.socket' objects}
    191/3    0.001    0.000    0.666    0.222 <frozen importlib._bootstrap>:966(_find_and_load)
    191/3    0.001    0.000    0.666    0.222 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    182/3    0.001    0.000    0.666    0.222 <frozen importlib._bootstrap>:651(_load_unlocked)
    142/3    0.001    0.000    0.665    0.222 <frozen importlib._bootstrap_external>:672(exec_module)
    271/3    0.000    0.000    0.664    0.221 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.641    0.641 /usr/local/lib/python3.6/dist-packages/numpy/__init__.py:106(<module>)
  875/117    0.001    0.000    0.623    0.005 <frozen importlib._bootstrap>:997(_handle_fromlist)
   323/13    0.000    0.000    0.622    0.048 {built-in method builtins.__import__}
        1    0.000    0.000    0.545    0.545 /usr/local/lib/python3.6/dist-packages/numpy/core/__init__.py:7(<module>)
        1    0.000    0.000    0.408    0.408 /usr/local/lib/python3.6/dist-packages/numpy/core/multiarray.py:7(<module>)
        1    0.000    0.000    0.405    0.405 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:1(<module>)
  182/179    0.001    0.000    0.310    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
       22    0.000    0.000    0.303    0.014 <frozen importlib._bootstrap_external>:919(create_module)
       22    0.296    0.013    0.303    0.014 {built-in method _imp.create_dynamic}
        9    0.168    0.019    0.168    0.019 {method 'receive' of 'sysv_ipc.MessageQueue' objects}
        1    0.000    0.000    0.152    0.152 /root/tfrpc/client/pocket_tf_if.py:229(__call__)
        1    0.000    0.000    0.152    0.152 /root/tfrpc/client/yolo_msgq.py:137(delegate_tf_callable)
        1    0.000    0.000    0.152    0.152 /root/tfrpc/client/yolo_msgq.py:325(tf_callable)
      142    0.002    0.000    0.126    0.001 <frozen importlib._bootstrap_external>:743(get_code)
      142    0.001    0.000    0.111    0.001 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      142    0.110    0.001    0.110    0.001 {built-in method marshal.loads}
      316    0.002    0.000    0.108    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:166(decorator)
        1    0.000    0.000    0.107    0.107 /usr/local/lib/python3.6/dist-packages/numpy/compat/__init__.py:10(<module>)
        1    0.000    0.000    0.106    0.106 /usr/local/lib/python3.6/dist-packages/numpy/compat/py3k.py:12(<module>)
        1    0.000    0.000    0.085    0.085 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1(<module>)
        1    0.000    0.000    0.077    0.077 /usr/local/lib/python3.6/dist-packages/numpy/core/shape_base.py:1(<module>)
        1    0.000    0.000    0.075    0.075 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:3(<module>)
      353    0.002    0.000    0.072    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
     2017    0.069    0.000    0.069    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.041    0.041 /usr/local/lib/python3.6/dist-packages/numpy/lib/__init__.py:13(<module>)
        1    0.000    0.000    0.028    0.028 /usr/local/lib/python3.6/dist-packages/numpy/core/_internal.py:6(<module>)
      188    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      155    0.001    0.000    0.025    0.000 /usr/lib/python3.6/re.py:286(_compile)
       44    0.000    0.000    0.024    0.001 /usr/lib/python3.6/re.py:231(compile)
      170    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       42    0.000    0.000    0.024    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
      170    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      316    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.022    0.022 /usr/lib/python3.6/platform.py:10(<module>)
  385/370    0.009    0.000    0.021    0.000 {built-in method builtins.__build_class__}
      329    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.019    0.019 /root/tfrpc/client/yolo_msgq.py:1(<module>)
        1    0.000    0.000    0.018    0.018 /usr/local/lib/python3.6/dist-packages/numpy/testing/__init__.py:7(<module>)
       22    0.001    0.000    0.015    0.001 /usr/lib/python3.6/collections/__init__.py:357(namedtuple)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.6/unittest/__init__.py:45(<module>)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.6/dist-packages/numpy/lib/index_tricks.py:1(<module>)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.6/dist-packages/numpy/random/__init__.py:124(<module>)
        1    0.000    0.000    0.013    0.013 /usr/local/lib/python3.6/dist-packages/numpy/random/_pickle.py:1(<module>)
       42    0.000    0.000    0.012    0.000 /usr/lib/python3.6/sre_compile.py:542(_code)
        1    0.000    0.000    0.012    0.012 app.pocket.py:53(resize_image)
    22/17    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
    22/17    0.002    0.000    0.012    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/pathlib.py:1(<module>)
   251/42    0.002    0.000    0.011    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
       42    0.000    0.000    0.010    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.6/subprocess.py:42(<module>)
        1    0.000    0.000    0.009    0.009 /root/tfrpc/client/yolo_msgq.py:838(tf_image_decode__image)
      286    0.002    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:72(verify_matching_signatures)
   114/42    0.001    0.000    0.009    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
   125/45    0.003    0.000    0.009    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
     2103    0.002    0.000    0.008    0.000 /usr/lib/python3.6/enum.py:267(__call__)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.6/inspect.py:27(<module>)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/core/defchararray.py:17(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.6/unittest/case.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/lib/npyio.py:1(<module>)
      704    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/matrixlib/__init__.py:3(<module>)
      142    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      616    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:96(getargspec)
      704    0.006    0.000    0.006    0.000 {built-in method posix.stat}
     1716    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/ma/__init__.py:41(<module>)
        7    0.000    0.000    0.006    0.001 /usr/lib/python3.6/enum.py:604(_convert)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.6/secrets.py:7(<module>)
