Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.001    0.000    0.001    0.000 {method 'send' of 'sysv_ipc.MessageQueue' objects}
5134/5012    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    253/7    0.001    0.000    0.767    0.110 <frozen importlib._bootstrap_external>:672(exec_module)
       69    0.001    0.000    0.015    0.000 /usr/lib/python3.6/typing.py:1099(__getitem__)
    93/31    0.001    0.000    0.003    0.000 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
      209    0.001    0.000    0.003    0.000 /usr/lib/python3.6/abc.py:135(<setcomp>)
     5415    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       26    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:160(<setcomp>)
     1262    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       28    0.001    0.000    0.018    0.001 /usr/lib/python3.6/collections/__init__.py:357(namedtuple)
      693    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
  304/298    0.001    0.000    0.229    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      446    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1040    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
      283    0.001    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      132    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       64    0.001    0.000    0.002    0.000 /usr/lib/python3.6/typing.py:613(_remove_dups_flatten)
      132    0.001    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:852(_next_in_mro)
      274    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:451(add_newdoc)
        1    0.001    0.001    5.911    5.911 detect.py:134(main)
      340    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       13    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:625(<listcomp>)
       76    0.001    0.000    0.004    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
      283    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
