Mon May  3 07:34:29 2021    data/20210503-07:34:09-10-cprofile/pocket-client-0002.cprofile

         105930 function calls (102626 primitive calls) in 1.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2103    0.002    0.000    0.008    0.000 /usr/lib/python3.6/enum.py:267(__call__)
        1    0.000    0.000    0.008    0.008 /root/tfrpc/client/pocket_tf_if.py:244(__truediv__)
        1    0.000    0.000    0.008    0.008 /root/tfrpc/client/yolo_msgq.py:158(delegate_tensor_division)
        1    0.000    0.000    0.008    0.008 /root/tfrpc/client/yolo_msgq.py:378(tensor_division)
        1    0.000    0.000    0.008    0.008 /usr/local/lib/python3.6/dist-packages/numpy/core/shape_base.py:1(<module>)
      286    0.002    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.6/inspect.py:27(<module>)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/matrixlib/__init__.py:3(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.6/unittest/case.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/lib/npyio.py:1(<module>)
      704    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/matrixlib/defmatrix.py:1(<module>)
      704    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/ma/__init__.py:41(<module>)
     1716    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/linalg/__init__.py:71(<module>)
        7    0.000    0.000    0.006    0.001 /usr/lib/python3.6/enum.py:604(_convert)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:3(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.6/secrets.py:7(<module>)
        1    0.000    0.000    0.006    0.006 /root/tfrpc/client/yolo_msgq.py:838(tf_image_decode__image)
        1    0.003    0.003    0.006    0.006 app.pocket.py:36(load_classes)
      616    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:96(getargspec)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/core/defchararray.py:17(<module>)
      939    0.002    0.000    0.006    0.000 /usr/lib/python3.6/enum.py:803(__and__)
      182    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/linalg/linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/polynomial/__init__.py:15(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.6/socket.py:47(<module>)
       13    0.002    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:124(__new__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.6/threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/lib/_datasource.py:36(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/json/__init__.py:97(<module>)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/core/_add_newdocs.py:10(<module>)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.6/enum.py:366(_create_)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/urllib/parse.py:28(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/shutil.py:5(<module>)
      353    0.002    0.000    0.004    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/traceback.py:1(<module>)
      284    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.004    0.004 /root/tfrpc/client/pocket_tf_if.py:1(<module>)
      274    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:451(add_newdoc)
      612    0.003    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:65(getargs)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/pickle.py:24(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/lib/financial.py:12(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:81(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/logging/__init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:21(<module>)
        1    0.003    0.003    0.003    0.003 /root/tfrpc/client/pocket_tf_if.py:25(__init__)
      142    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/fft/__init__.py:192(<module>)
     1716    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      215    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      233    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/hmac.py:4(<module>)
       97    0.000    0.000    0.003    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
      310    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      306    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/json/decoder.py:2(<module>)
     5280    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      142    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/tokenize.py:21(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/lib/type_check.py:3(<module>)
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 app.pocket.py:27(configs)
     9121    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      164    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/ctypes/__init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/unittest/main.py:1(<module>)
     2096    0.002    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:517(__new__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/hashlib.py:54(<module>)
     3267    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      501    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       23    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:206(decorator)
      164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       28    0.000    0.000    0.002    0.000 /usr/lib/python3.6/abc.py:132(__new__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/argparse.py:1613(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/signal.py:1(<module>)
       97    0.002    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/fft/_pocketfft.py:29(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/dis.py:1(<module>)
        7    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:625(<listcomp>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/json/scanner.py:2(<module>)
      164    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      838    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      501    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/lib/nanfunctions.py:22(<module>)
      808    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x9d12c0}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/datetime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/lib/polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/lib/shape_base.py:1(<module>)
     2275    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
